source,is_sponsored,job_id,job_url,title,location,company_logo,company,company_url,categories,primary_category,job_type,salary,posted_date
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/other/phala-network-phala-network-ambassador/,Phala Network Ambassador,Remote,https://cryptocurrencyjobs.co/startups/assets/logos/phala-network.jpg,Phala Network,https://cryptocurrencyjobs.co/startups/phala-network/,"['Remote', 'Other', 'Part-Time', 'Community Manager', 'Content Marketing', 'Crypto Pay', 'Non-Tech', 'Web3']",Remote,Part-time,,3d
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/marketing/give-a-grad-a-go-content-manager-crypto/,PR & Content Manager (Crypto),Remote,https://cryptocurrencyjobs.co/startups/assets/logos/give-a-grad-a-go.png,Give a Grad a Go,,"['Marketing', 'Full-Time', 'Content Marketing', 'DeFi', 'Non-Tech', 'Web3']",Marketing,Full-time,$50K,3d
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/marketing/risk-labs-senior-content-manager/,Senior Content Manager,Remote,https://cryptocurrencyjobs.co/startups/assets/logos/risk-labs.jpeg,Risk Labs,https://cryptocurrencyjobs.co/startups/risk-labs/,"['Remote', 'Marketing', 'Full-Time', 'Content Marketing', 'DeFi', 'Marketing Manager', 'Non-Tech']",Remote,Full-time,$90K,3d
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/engineering/across-sr-backend-engineer/,Sr. Backend Engineer,Remote,https://cryptocurrencyjobs.co/startups/assets/logos/across.jpg,Across,https://cryptocurrencyjobs.co/startups/across/,"['Remote', 'Engineering', 'Full-Time', 'Backend Engineer', 'Crypto Pay', 'Engineer', 'Ethereum', 'Layer 2', 'Solidity', 'TypeScript', 'Web3']",Remote,Full-time,$100K,3d
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/engineering/across-smart-contract-engineer/,Smart Contract Engineer,Remote,https://cryptocurrencyjobs.co/startups/assets/logos/across.jpg,Across,https://cryptocurrencyjobs.co/startups/across/,"['Remote', 'Engineering', 'Full-Time', 'Crypto Pay', 'DeFi', 'Engineer', 'Ethereum', 'Layer 2', 'Smart Contracts', 'Solidity', 'TypeScript', 'Web3']",Remote,Full-time,$100K,3d
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/marketing/flight3-creative-director/,Creative Director,London,https://cryptocurrencyjobs.co/startups/assets/logos/flight3.jpg,Flight3,https://cryptocurrencyjobs.co/startups/flight3/,"['London', 'Marketing', 'Full-Time', 'Copywriter', 'Non-Tech', 'Web3']",London,Full-time,,3d
cryptocurrencyjobs.co,,,https://cryptocurrencyjobs.co/marketing/flight3-vp-of-marketing/,VP of Marketing,London,https://cryptocurrencyjobs.co/startups/assets/logos/flight3.jpg,Flight3,https://cryptocurrencyjobs.co/startups/flight3/,"['London', 'Marketing', 'Full-Time', 'Marketing Manager', 'Non-Tech']",London,Full-time,,3d
beincrypto.com,,,https://beincrypto.com/jobs/p/software-engineering-manager-frontEnd-teams-nexo,Software Engineering Manager FrontEnd Teams,Remote,https://attachments-cdn.breezy.hr/7af24dee-d41f-4eee-800e-5c88413d06aa/1000x2240hor.png,Nexo,https://beincrypto.com/jobs/company/nexo,,,Full-time,,
beincrypto.com,,,https://beincrypto.com/jobs/p/analytics-engineering-manager-base,Analytics Engineering Manager,Remote,https://res.cloudinary.com/beincrypto/image/upload/v1689270293/logos/gfc6vpafeqlrgxksy1xj.jpg,Base,https://beincrypto.com/jobs/company/base,,,Full-time,"$245,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/senior-manager-developer-relations-and-ecosystem-marketing-APAC-circle,Senior Manager Developer Relations and Ecosystem Marketing APAC,Remote,https://res.cloudinary.com/beincrypto/image/upload/v1680554774/logos/da1lv9i8t5f5hn3bgiyh.png,Circle,https://beincrypto.com/jobs/company/cirlce,,,Full-time,"$96,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/senior-product-manager-crypto-superlogic,"Senior Product Manager, Crypto",,https://workable-application-form.s3.us-east-1.amazonaws.com/advanced/production/67ec65a280c99af94557fb78/27c4fdd2-597a-9425-9d9a-19000495724a,Superlogic,https://beincrypto.com/jobs/company/superlogic,,,Full-time,,
beincrypto.com,,,https://beincrypto.com/jobs/p/product-manager-VIP-experience-ticketing-superlogic,"Product Manager, VIP Experience & Ticketing",,https://workable-application-form.s3.us-east-1.amazonaws.com/advanced/production/67ec65a280c99af94557fb78/27c4fdd2-597a-9425-9d9a-19000495724a,Superlogic,https://beincrypto.com/jobs/company/superlogic,,,Full-time,,
beincrypto.com,,,https://beincrypto.com/jobs/p/senior-full-stack-engineer-platm-chaos-labs,Senior Full Stack Engineer Platm,New York,https://pbs.twimg.com/profile_images/1719082452562374656/iRubMqQ1_400x400.jpg,Chaos Labs,https://beincrypto.com/jobs/company/chaos-labs,,,Full-time,"$164,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/crypto-operations-analyst-etoro,Crypto Operations Analyst,Remote,https://pbs.twimg.com/profile_images/1682571717414121475/Z1b6plGv_400x400.jpg,EToro,https://beincrypto.com/jobs/company/etoro,,,Full-time,"$62,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/infrastructure-partnerships-intern-pip-labs,Infrastructure Partnerships Intern,,,PIP Labs,https://beincrypto.com/jobs/company/pip-labs,,,Internship,,
beincrypto.com,,,https://beincrypto.com/jobs/p/visual-designer-pip-labs,Visual Designer,,,PIP Labs,https://beincrypto.com/jobs/company/pip-labs,,,Full-time,,
beincrypto.com,,,https://beincrypto.com/jobs/p/senior-software-engineer-go-1inch,Senior Software Engineer [Go],,https://blockworks.co/_next/image?url=https%3A%2F%2Fassets.coingecko.com%2Fcoins%2Fimages%2F13469%2Flarge%2F1inch-token.png%3F1696513230&w=32&q=75,1inch,https://beincrypto.com/jobs/company/1inch,,,Full-time,"$75,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/senior-fullstack-developer-tiamonds-lcx,Senior Fullstack Developer Tiamonds,,https://pbs.twimg.com/profile_images/1650836604347351041/NLIfy1nZ_400x400.jpg,LCX,https://beincrypto.com/jobs/company/lcx,,,Full-time,"$60,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/business-analyst-wallet,Business Analyst,Remote,"https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/Xzlx3jBnTg6Ne3jpaIMm",Wallet,https://beincrypto.com/jobs/company/wallet,,,Full-time,"$83,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/corda-solana-onChain-rust-engineer-r3,Corda Solana OnChain Rust Engineer,London,https://lever-client-logos.s3.amazonaws.com/c9890191-2a80-4a6f-b453-efb2ccec9b02-1484840449309.png,R3,https://beincrypto.com/jobs/company/r3,,,Full-time,"$150,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/compliance-analyst-imc,Compliance Analyst,,https://pbs.twimg.com/profile_images/1877741416824143872/28uRGxBi_400x400.jpg,IMC,https://beincrypto.com/jobs/company/imc,,,Full-time,,
beincrypto.com,,,https://beincrypto.com/jobs/p/strategic-account-manager-helius,Strategic Account Manager,,https://cdn.getro.com/companies/376d95f6-3a31-5fec-b07a-54bad8c6176d-1748136670,Helius,https://beincrypto.com/jobs/company/helius,,,Full-time,"$250,000 per year",
beincrypto.com,,,https://beincrypto.com/jobs/p/data-analyst-nayax,Data Analyst,,https://www.comeet.co/pub/nayax/13.009/logo?size=medium&last-modified=1627285719,Nayax,https://beincrypto.com/jobs/company/nayax,,,Full-time,,
